timestamp,hour,day_of_year,day_of_week,temp_c,surface_pressure,cloud_pct,wind_speed,wind_speed_100m,wind_gust,shortwave_radiation_instant,direct_normal_irradiance,diffuse_radiation,solar_kw,wind_kw,demand_kw
2024-01-01 00:00:00+05:30,0,1,0,11.0,1002.2,37.9,3.980676053396228,5.25068358187826,5.712308886087754,0.0,0.0,0.0,0.0,2.49,70.0
2024-01-01 01:00:00+05:30,1,1,0,9.6,1005.9,2.9,6.158974583244037,8.441118757762935,9.156128644273991,0.0,0.0,0.0,0.0,12.62,70.0
2024-01-01 02:00:00+05:30,2,1,0,8.9,1003.0,23.0,1.3763012219551038,1.8900643561375583,2.0658702883976994,0.0,0.0,0.0,0.0,0.0,70.0
2024-01-01 03:00:00+05:30,3,1,0,10.1,1007.5,30.4,5.404119814861504,7.640414576093187,6.786815012193926,0.0,0.0,0.0,0.0,8.73,70.0
2024-01-01 04:00:00+05:30,4,1,0,7.0,1005.2,37.1,0.4267777210395057,0.5496895878169296,0.581970071171137,0.0,0.0,0.0,0.0,0.0,70.0
2024-01-01 05:00:00+05:30,5,1,0,9.3,1008.6,14.3,4.846761059583875,6.1351440111886095,6.650248757731001,0.0,0.0,0.0,0.0,4.87,70.0
2024-01-01 06:00:00+05:30,6,1,0,8.0,1004.6,34.3,3.0310514505816153,4.027820817558875,3.642015565416999,0.0,0.0,0.0,0.0,0.62,70.0
2024-01-01 07:00:00+05:30,7,1,0,10.8,1009.0,33.8,3.8667356006077656,5.536374127849793,6.052584495871615,147.1,93.3,100.4,0.0,2.69,110.0
2024-01-01 08:00:00+05:30,8,1,0,13.5,1004.5,29.3,2.388032144733891,3.1006814666224605,3.718332780997406,319.1,211.6,213.3,63.47,0.0,110.0
2024-01-01 09:00:00+05:30,9,1,0,12.7,999.5,30.6,6.292288492371506,7.9369638903410324,9.900098127174445,465.9,305.1,313.3,105.79,11.42,190.0
2024-01-01 10:00:00+05:30,10,1,0,17.2,1004.0,15.8,1.073730778528609,1.5555524569212407,1.3601116817650705,675.9,506.4,422.7,165.41,0.0,190.0
2024-01-01 11:00:00+05:30,11,1,0,15.8,1002.2,32.1,6.696502274824574,9.227177965923088,9.911035605389642,669.9,432.3,453.8,172.93,16.23,190.0
2024-01-01 12:00:00+05:30,12,1,0,17.5,1003.5,25.1,4.0594339895346945,5.749278933582,5.394164559886466,765.0,527.8,501.1,200.0,3.09,190.0
2024-01-01 13:00:00+05:30,13,1,0,15.5,1006.7,11.7,3.6446389725580035,4.847215668634248,5.381761549176387,859.7,666.6,526.4,200.0,1.72,154.0
2024-01-01 14:00:00+05:30,14,1,0,19.1,1006.6,18.8,2.0048139826137277,2.821239856098179,2.591017734089497,757.9,553.4,481.2,198.17,0.0,190.0
2024-01-01 15:00:00+05:30,15,1,0,13.5,1001.2,31.1,4.646429243122506,6.04081941741193,6.70978695770255,587.9,383.2,396.3,149.44,4.32,190.0
2024-01-01 16:00:00+05:30,16,1,0,17.2,1007.2,26.2,3.790889042420158,4.8655750931221675,5.025744312442568,485.8,331.8,319.9,113.23,1.86,190.0
2024-01-01 17:00:00+05:30,17,1,0,19.1,1004.3,18.8,4.521297458863448,6.429953975068241,6.063949698627107,351.3,256.5,223.0,71.91,4.63,190.0
2024-01-01 18:00:00+05:30,18,1,0,17.1,1000.7,6.0,3.69235415168881,4.953585901972912,5.04082813735052,188.2,152.8,111.8,0.0,1.84,165.0
